total_fpackets,total_fvolume,max_fpktl,max_bpktl,duration,fpsh_cnt,total_fhlen,label
13,1667,610,2878,24849,3,272,1
7,1308,611,2878,418395,3,152,1
7,1308,611,2878,418394,3,152,1
10,1801,686,2878,145784,3,212,1
3,712,586,66,245350,1,72,1
9,1741,686,2878,136016,3,192,1
6,935,571,2878,111141,2,132,1
4,826,582,497,218458,2,92,1
8,1374,617,2878,404326,3,172,1
7,1610,675,2878,264206,3,152,1
8,1367,610,2878,423915,3,172,1
10,1844,729,2878,151081,3,212,1
13,1668,611,2878,24652,3,272,1
13,1668,611,2878,28766,3,272,1
12,1371,269,2485,175437,5,252,1
13,1674,617,2878,32021,3,272,1
5,454,208,593,230253,1,112,1
10,6873,2041,2878,935469,6,212,1
11,2670,1159,1514,405574,6,232,1
13,1668,611,2878,25989,3,272,1
4069,1049340,1581,11886,526339,2762,81692,1
1,66,66,0,0,0,32,1
5,454,208,593,212204,1,112,1
5,875,571,2878,800723,2,112,1
8,1681,686,2878,70531,3,172,1
8,1368,611,2878,403961,3,172,1
13,1668,611,1466,32021,3,272,1
7,1610,675,2878,277095,3,152,1
10,1801,686,2878,147188,3,212,1
3,697,571,66,294806,1,72,1
3,697,571,66,74337,1,72,1
5,875,571,2878,848526,2,112,1
7,1308,611,2878,418394,3,152,1
6,935,571,2878,138221,2,132,1
8,1142,385,2878,405907,3,172,1
5,454,208,593,230070,1,112,1
15,3028,1159,1514,419401,8,312,1
8,3909,2020,2878,785191,4,172,1
8,6789,2035,862,5884,6,172,1
10,1262,385,1466,511213,3,212,1
20,3015,680,2878,334694,4,412,1
11,1310,269,2486,172346,5,232,1
5,454,208,593,247096,1,112,1
15,3028,1159,1514,963174,8,312,1
20,3371,1332,5435,961507,12,412,1
12,1370,269,2485,12922,5,252,1
15,3028,1159,1514,992638,8,312,1
10,1262,385,2878,580918,3,212,1
20,3371,1332,5435,923131,12,412,1
20,3371,1332,5435,41777,12,412,1
9,1429,612,2878,232589,3,192,1
9,1429,612,1466,232327,3,192,1
7,707,341,390,262921,1,152,1
20,3371,1332,4023,960960,12,412,1
20,3371,1332,5435,364404,12,412,1
5,454,208,593,233265,1,112,1
684,177691,1613,5435,246945,442,13692,1
6,697,271,2878,136692,2,132,1
20,3371,1332,5435,24529,12,412,1
11,1311,269,2484,964001,5,232,1
12,2966,1604,2878,134715,5,252,1
14917,2465497,1613,36766,426529,8613,304668,1
15,3028,1159,1514,189223,8,312,1
7,707,341,390,428505,1,152,1
11,2669,1159,1514,459527,6,232,1
8,2128,1139,1150,257238,3,172,1
7,995,578,210,338150,2,164,1
7,653,281,317,219089,1,164,1
9,1202,385,1466,351269,3,192,1
6,514,208,593,245723,1,132,1
4,521,335,389,616533,1,92,1
171,26755,1332,1466,140622,120,3584,1
16,3094,1159,1466,530172,8,344,1
5,904,658,318,139025,1,112,1
8,1520,571,200,176430,2,196,1
11,880,238,1514,431993,1,304,1
66,72907,4290,769,868038,39,1524,1
10,1215,571,1466,154202,2,260,1
223,16407,571,5702,155320,24,4896,1
10,1174,571,204,490483,2,236,1
22,6090,2031,5702,837346,8,476,1
12,2492,628,1466,844936,7,264,1
7,949,571,200,844767,1,176,1
8,1520,571,200,166295,2,196,1
5,817,571,1466,775272,1,112,1
17,1731,386,1466,777586,3,448,1
7,949,571,204,307053,1,176,1
10,1215,571,1466,153961,2,260,1
323,51967,1613,5702,266175,222,7080,1
4,264,66,66,841820,0,128,1
14,1438,571,200,965117,2,364,1
5,454,208,593,74207,1,112,1
25,3740,1159,1466,352709,8,696,1
7,949,571,200,508419,1,176,1
10,1209,571,1466,639290,2,248,1
86,5474,208,593,448212,2,1756,1
5,454,208,593,315180,1,112,1
17,3146,1332,1466,49695,11,352,1
12,2727,1158,1466,649094,6,252,1
6,514,208,593,219747,1,132,1
3,397,271,1466,167442,1,72,1
4,394,208,593,222248,1,92,1
13,1437,269,1466,185860,5,284,1
16,3094,1159,1466,523440,8,344,1
12,1371,269,1466,631327,5,252,1
10,1469,584,1466,123042,3,224,1
10,1469,584,1466,123042,3,224,1
15,2715,628,1466,440885,8,336,1
273,43325,1332,1466,932436,177,5748,1
10,1500,617,1466,531037,3,224,1
10,1500,617,1466,531037,3,224,1
43,2734,208,593,176921,1,872,1
11,1329,386,1466,883076,3,244,1
11,2426,628,1466,671116,7,232,1
11,1323,386,1466,390766,3,232,1
10,1475,584,1466,659639,3,236,1
17,3153,1159,1466,36692,8,364,1
906,231541,1613,2878,697770,697,18752,1
